object_id,img_file_name,collection_method,ESD_um,area_um2,biovolume_um3,object_circ.,object_elongation,object_solidity,object_eccentricity,object_MeanHue,object_MeanSaturation,object_MeanValue,umap_x,umap_y
2024-03-12_01-32-13-187147_0,2024-03-12_01-32-13-187147_0.jpg,PP,40.35631961241467,1279.125,31693.043337212985,0.6977802168266656,1.3337410266482637,0.92326431181486,0.6616976904338404,60.72603342128408,103.86895338610378,199.80211081794195,9.623076,4.24147
2024-03-12_01-32-13-187147_1,2024-03-12_01-32-13-187147_1.jpg,PP,51.128465068730364,2053.125,48876.541325968035,0.6412901179437274,2.2412451635952744,0.9344598054275474,0.8949429684137529,46.832328767123286,101.59616438356164,192.9457534246575,5.754326,8.21907
2024-03-12_01-32-13-187147_2,2024-03-12_01-32-13-187147_2.jpg,PP,45.416385396362884,1620.0,36313.26766155279,0.6993829354853276,1.9889938295352871,0.9213051823416508,0.8644221055794199,51.40868055555555,123.97291666666666,176.12152777777777,10.5461445,9.018479
2024-03-12_01-32-13-187147_3,2024-03-12_01-32-13-187147_3.jpg,PP,43.67188180673839,1497.9375,40402.20734843467,0.6598364878762527,1.4222181851795734,0.8847176079734219,0.7110642922377941,46.982350732256855,116.96657904618851,168.60120165227187,9.471097,8.557992
2024-03-12_01-32-13-187147_4,2024-03-12_01-32-13-187147_4.jpg,PP,37.6097003009758,1110.9375,29369.008289319936,0.670677004484516,1.0599925004917397,0.8956916099773242,0.3316488600743464,59.12,71.94430379746835,207.52405063291135,9.683193,3.0871692
2024-03-12_01-32-14-994899_0,2024-03-12_01-32-14-994899_0.jpg,PP,36.67449282634468,1056.375,24451.672252274926,0.7808039541400914,1.1478828184831484,0.943718592964824,0.4909831593637757,59.8482428115016,147.64110756123534,196.0101171458999,9.461387,5.267161
2024-03-12_01-32-14-994899_1,2024-03-12_01-32-14-994899_1.jpg,PP,42.17010501098252,1396.6875,35377.95622502812,0.6070753957521454,1.6140407536230783,0.8693977591036415,0.7849469003658914,62.774869109947645,84.52597664115989,210.4571083366895,9.627747,3.2450893
2024-03-12_01-32-14-994899_2,2024-03-12_01-32-14-994899_2.jpg,PP,40.98149017516598,1319.0625,35614.595383771455,0.6949271499522096,1.212678896378749,0.9019230769230768,0.5656861894062192,48.78208955223881,95.72537313432836,185.38464818763327,7.118279,7.233445
2024-03-12_01-32-14-994899_3,2024-03-12_01-32-14-994899_3.jpg,PP,37.101632077333235,1081.125,9522.979317309035,0.2148728577691525,10.667307274993563,0.7854515733551287,0.9955963002617564,72.75494276795006,10.504162330905308,239.45213319458895,-2.8339386,6.0466847
2024-03-12_01-32-14-994899_4,2024-03-12_01-32-14-994899_4.jpg,PP,42.75202178221898,1435.5,49272.44535581159,0.4375827561191175,1.5620340629793112,0.7565965016305959,0.7682158586616025,31.6692789968652,158.10619122257054,184.2131661442006,7.253691,9.543601
2024-03-12_01-32-14-994899_5,2024-03-12_01-32-14-994899_5.jpg,PP,32.402857274895275,824.625,24719.35540083464,0.0706094340340299,7.966351526847927,0.2750985175455057,0.9920900799393656,45.96589358799454,9.191678035470668,230.8806275579809,-4.541886,6.603902
2024-03-12_01-32-14-994899_6,2024-03-12_01-32-14-994899_6.jpg,PP,30.618657584597162,736.3125,6157.55262972939,0.278299509835725,6.7643944281628166,0.8412596401028277,0.9890123536372466,93.0114591291062,2.8808250572956458,244.98319327731093,-3.6118062,6.933763
